nome_mandante,gols_mandante,gols_visitante,nome_visitante
Internacional,2,1,Bahia
Criciúma,1,1,Juventude
Fluminense,2,2,Bragantino
São Paulo,1,2,Fortaleza
Atlético-GO,1,2,Flamengo
Vasco,2,1,Grêmio
Corinthians,0,0,Atlético-MG
Athletico-PR,4,0,Cuiabá
Cruzeiro,3,2,Botafogo
Vitória,0,1,Palmeiras
Bahia,2,1,Fluminense
Grêmio,2,0,Athletico-PR
Atlético-MG,1,1,Criciúma
Bragantino,2,1,Vasco
Fortaleza,1,1,Cruzeiro
Juventude,2,0,Corinthians
Palmeiras,0,1,Internacional
Flamengo,2,1,São Paulo
Botafogo,1,0,Atlético-GO
Cuiabá,0,0,Vitória
Fluminense,2,1,Vasco
Grêmio,1,0,Cuiabá
Bragantino,1,0,Corinthians
Atlético-MG,3,0,Cruzeiro
Vitória,2,2,Bahia
Palmeiras,0,0,Flamengo
Athletico-PR,1,0,Internacional
Botafogo,5,1,Juventude
Atlético-GO,0,3,São Paulo
Criciúma,1,1,Fortaleza
Vasco,0,4,Criciúma
Cuiabá,0,3,Atlético-MG
Bahia,1,0,Grêmio
Flamengo,0,2,Botafogo
Cruzeiro,3,1,Vitória
Corinthians,3,0,Fluminense
Fortaleza,1,1,Bragantino
Juventude,1,1,Athletico-PR
Internacional,1,1,Atlético-GO
São Paulo,0,0,Palmeiras
Fluminense,2,2,Atlético-MG
Bragantino,1,1,Flamengo
Corinthians,0,0,Fortaleza
Vitória,1,3,São Paulo
Athletico-PR,1,0,Vasco
Botafogo,1,2,Bahia
Cuiabá,0,2,Palmeiras
Juventude,1,0,Atlético-GO
Cruzeiro,0,0,Internacional
Grêmio,1,2,Criciúma
Flamengo,2,0,Corinthians
Vasco,2,1,Vitória
Atlético-GO,0,1,Cruzeiro
Palmeiras,0,2,Athletico-PR
Fortaleza,1,1,Botafogo
Bahia,1,0,Bragantino
São Paulo,2,1,Fluminense
Criciúma,2,5,Cuiabá
Atlético-MG,2,1,Grêmio
Internacional,2,1,Juventude
Vitória,0,2,Atlético-GO
Grêmio,0,2,Bragantino
Cuiabá,0,1,Internacional
Fluminense,1,1,Juventude
Corinthians,0,1,Botafogo
Vasco,1,6,Flamengo
Criciúma,1,2,Palmeiras
Atlético-MG,1,1,Bahia
Fortaleza,1,0,Athletico-PR
São Paulo,2,0,Cruzeiro
Juventude,1,1,Vitória
Atlético-GO,2,2,Corinthians
Botafogo,1,0,Fluminense
Bragantino,1,2,Atlético-MG
Cruzeiro,2,1,Cuiabá
Athletico-PR,3,1,Criciúma
